Timestamp,Source IP,Destination IP,packet length,protocol
1682190856.669413000,192.168.100.5,216.58.212.1,118,TLS
1682190856.669695000,192.168.100.5,216.58.212.1,118,TLS
1682190856.669922000,192.168.100.5,216.58.212.1,118,TLS
1682190856.670045000,192.168.100.5,23.50.184.71,54,TCP
1682190856.670130000,192.168.100.5,216.58.212.1,224,TLS
1682190856.670897000,192.168.100.5,216.58.212.1,118,TLS
1682190856.671375000,192.168.100.5,216.58.212.1,241,TLS
1682190856.671427000,192.168.100.5,216.58.212.1,241,TLS
1682190856.671464000,192.168.100.5,216.58.212.1,241,TLS
1682190856.672974000,192.168.100.5,216.58.212.1,241,TLS
1682190856.677506000,216.58.212.1,192.168.100.5,668,TLS
1682190856.678546000,192.168.100.5,216.58.212.1,85,TLS
1682190856.682581000,216.58.212.1,192.168.100.5,668,TLS
1682190856.682894000,216.58.212.1,192.168.100.5,668,TLS
1682190856.683148000,216.58.212.1,192.168.100.5,668,TLS
1682190856.683148000,216.58.212.1,192.168.100.5,85,TLS
1682190856.683344000,216.58.212.1,192.168.100.5,668,TLS
1682190856.683526000,216.58.212.1,192.168.100.5,85,TLS
1682190856.683526000,216.58.212.1,192.168.100.5,85,TLS
1682190856.683652000,192.168.100.5,216.58.212.1,54,TCP
1682190856.683828000,192.168.100.5,216.58.212.1,54,TCP
1682190856.684080000,216.58.212.1,192.168.100.5,85,TLS
1682190856.684179000,192.168.100.5,216.58.212.1,54,TCP
1682190856.687095000,172.217.169.138,192.168.100.5,54,TCP
1682190856.687095000,216.58.212.1,192.168.100.5,85,TLS
1682190856.687196000,192.168.100.5,172.217.169.138,54,TCP
1682190856.687347000,192.168.100.5,216.58.212.1,54,TCP
1682190856.687700000,192.168.100.5,216.58.212.1,78,TLS
1682190856.687811000,192.168.100.5,216.58.212.1,54,TCP
1682190856.694434000,216.58.212.1,192.168.100.5,56,TCP
1682190856.695779000,192.168.100.5,216.58.212.1,78,TLS
1682190856.695878000,192.168.100.5,216.58.212.1,54,TCP
1682190856.696303000,192.168.100.5,216.58.212.1,78,TLS
1682190856.696363000,192.168.100.5,216.58.212.1,54,TCP
1682190856.696517000,192.168.100.5,216.58.212.1,78,TLS
1682190856.696567000,192.168.100.5,216.58.212.1,54,TCP
1682190856.698714000,216.58.212.1,192.168.100.5,54,TCP
1682190856.698775000,192.168.100.5,216.58.212.1,54,TCP
1682190856.707195000,216.58.212.1,192.168.100.5,54,TCP
1682190856.707246000,192.168.100.5,216.58.212.1,54,TCP
1682190856.710405000,216.58.212.1,192.168.100.5,56,TCP
1682190856.710531000,216.58.212.1,192.168.100.5,54,TCP
1682190856.710588000,192.168.100.5,216.58.212.1,54,TCP
